"Município","ibge","latitude","longitude","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2010 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2011 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2012 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2013 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2014 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2015 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2016 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2017 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2018 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2019 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2020 (-)"
"Gramado","4309100","-29.3733","-50.87619999999","...","...","...","...","...","...","...","...","...","...","..."
"Gramado dos Loureiros","4309126","-27.44290000000","-52.91490000000","...","...","...","...","...","...","...","...","...","...","..."
"Gramado Xavier","4309159","-29.27060000000","-52.57950000000","...","...","...","...","...","...","...","...","...","...","..."
"Gravataí","4309209","-29.94129999999","-50.98689999999","376","691","404","401","357","401","317","285","286","259","267"
"Guabiju","4309258","-28.54210000000","-51.69480000000","...","...","...","...","...","...","...","...","...","...","..."
"Guaíba","4309308","-30.10859999999","-51.32330000000","101","150","117","98","83","103","89","89","113","149","159"
"Guaporé","4309407","-28.8399","-51.88949999999","35","12","26","28","19","29","35","25","13","25","13"
"Guarani das Missões","4309506","-28.14910000000","-54.56289999999","...","...","...","...","...","...","...","...","...","...","..."
"Harmonia","4309555","-29.5456","-51.41850000000","...","...","...","...","...","...","...","...","...","...","..."
"Herval","4307104","-32.02400000000","-53.39439999999","...","...","...","...","...","...","...","...","...","...","..."
"Herveiras","4309571","-29.45520000000","-52.65529999999","...","...","...","...","...","...","...","...","...","...","..."
"Horizontina","4309605","-27.6282","-54.30530000000","9","7","12","14","11","15","10","16","19","18","22"
"Hulha Negra","4309654","-31.40670000000","-53.86670000000","...","...","...","...","...","...","...","...","...","...","..."
"Humaitá","4309704","-27.56909999999","-53.96949999999","...","...","...","...","...","...","...","...","...","...","..."
"Ibarama","4309753","-29.42030000000","-53.1295","...","...","...","...","...","...","...","...","...","...","..."
"Ibiaçá","4309803","-28.0566","-51.85990000000","...","...","...","...","...","...","...","...","...","...","..."
"Ibiraiaras","4309902","-28.37409999999","-51.63770000000","...","...","...","...","...","...","...","...","...","...","..."
"Ibirapuitã","4309951","-28.62470000000","-52.51579999999","...","...","...","...","...","...","...","...","...","...","..."
"Ibirubá","4310009","-28.63019999999","-53.0961","11","2","0","0","2","6","10","3","12","13","7"
"Igrejinha","4310108","-29.56929999999","-50.79189999999","...","...","...","0","0","8","3","4","6","0","..."
"Ijuí","4310207","-28.38810000000","-53.92000000000","561","401","400","451","455","467","461","396","425","447","430"
"Ilópolis","4310306","-28.9282","-52.12579999999","...","...","...","...","...","...","...","...","...","...","..."
"Imbé","4310330","-29.97530000000","-50.12810000000","12","12","11","6","6","11","10","4","7","8","1"
"Imigrante","4310363","-29.3508","-51.77470000000","...","...","...","...","...","...","...","...","...","...","..."
"Independência","4310405","-27.8354","-54.18860000000","...","...","...","...","...","...","...","...","...","...","..."
"Inhacorá","4310413","-27.8752","-54.01500000000","...","...","...","...","...","...","...","...","...","...","..."
"Ipê","4310439","-28.8171","-51.28589999999","...","...","...","...","...","...","...","...","...","...","..."
"Ipiranga do Sul","4310462","-27.9404","-52.42710000000","...","...","...","...","...","...","...","...","...","...","..."
"Iraí","4310504","-27.1951","-53.25430000000","...","...","...","...","...","...","...","...","...","...","..."
"Itaara","4310538","-29.60129999999","-53.77250000000","...","...","...","...","...","...","...","...","...","...","..."
"Itacurubi","4310553","-28.7913","-55.24470000000","...","...","...","...","...","...","...","...","...","...","..."
"Itapuca","4310579","-28.77680000000","-52.1693","...","...","...","...","...","...","...","...","...","...","..."
"Itaqui","4310603","-29.131","-56.55149999999","20","35","24","31","49","40","45","63","59","56","28"
"Itati","4310652","-29.48832000000","-50.11357999999","...","...","...","...","...","...","...","...","...","...","..."
"Itatiba do Sul","4310702","-27.38459999999","-52.45380000000","...","...","...","...","...","...","...","...","...","...","..."
"Ivorá","4310751","-29.52319999999","-53.58420000000","...","...","...","...","...","...","...","...","...","...","..."
"Ivoti","4310801","-29.59949999999","-51.15330000000","9","6","7","26","12","21","31","25","25","40","26"
"Jaboticaba","4310850","-27.63469999999","-53.27620000000","...","...","...","...","...","...","...","...","...","...","..."
"Jacuizinho","4310876","-29.02199999999","-53.05369999999","...","...","...","...","...","...","...","...","...","...","..."
"Jacutinga","4310900","-27.72909999999","-52.53719999999","...","...","...","...","...","...","...","...","...","...","..."
"Jaguarão","4311007","-32.56040000000","-53.37700000000","95","37","52","43","55","80","55","74","45","41","27"
"Jaguari","4311106","-29.49360000000","-54.70300000000","...","...","...","...","0","0","0","34","44","15","0"
"Jaquirana","4311122","-28.8811","-50.36370000000","...","...","...","...","...","...","...","...","...","...","..."
"Jari","4311130","-29.29220000000","-54.22370000000","...","...","...","...","...","...","...","...","...","...","..."
"Jóia","4311155","-28.6435","-54.11410000000","...","...","...","...","...","...","...","...","...","...","..."
"Júlio de Castilhos","4311205","-29.22980000000","-53.67719999999","0","0","11","19","26","14","26","25","79","43","45"
"Lagoa Bonita do Sul","4311239","-29.48819999999","-53.01380000000","...","...","...","...","...","...","...","...","...","...","..."
"Lagoa dos Três Cantos","4311270","-28.56759999999","-52.86180000000","...","...","...","...","...","...","...","...","...","...","..."
"Lagoa Vermelha","4311304","-28.20929999999","-51.52479999999","60","42","53","67","62","65","45","49","49","35","43"
